Corrida,M_porcentaje,M_num,Performance_train,Size_tree,Num_leaves,Prof_Tree,Performance_test,Noise_Percentage
7,0.35,0.35,71.5830875122911,129,178,9,76.4089121887287,13
8,0.4,0.4,71.8780727630285,145,199,9,76.2778505897772,13
9,0.45,0.45,77.548344804982,440,600,10,73.0013106159895,13
10,0.5,0.5,77.9088823336611,483,651,10,72.4770642201835,13
1,0.05,0.05,66.8960996394625,5,8,3,75.7536041939712,14
2,0.1,0.1,68.2399213372665,12,20,5,76.0157273918742,14
3,0.15,0.15,69.3870862012455,37,49,6,76.2778505897772,14
4,0.2,0.2,69.4198623402163,39,52,6,76.2778505897772,14
5,0.25,0.25,69.4198623402163,39,52,6,76.2778505897772,14
6,0.3,0.3,70.7309078990495,89,116,8,75.7536041939712,14
7,0.35,0.35,70.9931170108161,117,149,8,76.0157273918742,14
8,0.4,0.4,71.8452966240577,173,215,8,76.0157273918742,14
9,0.45,0.45,73.3529990167158,251,324,10,75.0982961992136,14
10,0.5,0.5,76.8928220255654,490,638,10,71.5596330275229,14
1,0.05,0.05,67.0927564732875,5,8,3,75.7536041939712,15
2,0.1,0.1,67.2238610291708,6,10,4,75.7536041939712,15
3,0.15,0.15,67.2238610291708,6,10,4,75.7536041939712,15
4,0.2,0.2,67.2238610291708,6,10,4,75.7536041939712,15
5,0.25,0.25,70.1081612586037,75,106,8,76.6710353866317,15
6,0.3,0.3,70.2064896755162,78,111,8,76.9331585845347,15
7,0.35,0.35,70.8620124549328,110,152,8,77.0642201834862,15
8,0.4,0.4,73.713536545395,253,338,10,74.3119266055046,15
9,0.45,0.45,75.7128810226155,364,488,11,73.9187418086501,15
10,0.5,0.5,77.548344804982,521,683,11,72.2149410222805,15
1,0.05,0.05,65.6833824975418,4,6,2,75.4914809960681,16
2,0.1,0.1,65.6833824975418,4,6,2,75.4914809960681,16
3,0.15,0.15,65.9455916093084,8,13,4,74.9672346002621,16
4,0.2,0.2,67.8793838085873,43,61,7,74.3119266055046,16
5,0.25,0.25,69.9115044247788,106,149,10,74.5740498034076,16
6,0.3,0.3,70.3703703703704,121,169,10,74.5740498034076,16
7,0.35,0.35,70.7964601769911,162,217,10,74.7051114023591,16
8,0.4,0.4,73.9757456571616,304,409,10,70.7732634338139,16
9,0.45,0.45,75.9095378564405,422,562,10,69.5937090432503,16
10,0.5,0.5,76.1717469682071,451,597,10,69.4626474442988,16
1,0.05,0.05,65.2900688298918,5,8,3,75.7536041939712,17
2,0.1,0.1,65.5850540806293,9,15,4,75.3604193971166,17
3,0.15,0.15,66.7649950835792,29,42,6,74.1808650065531,17
4,0.2,0.2,68.6660111438872,63,88,7,74.4429882044561,17
5,0.25,0.25,68.9937725335955,79,109,8,74.5740498034076,17
6,0.3,0.3,69.6165191740413,98,135,8,74.5740498034076,17
7,0.35,0.35,70.2720419534579,143,190,9,74.8361730013106,17
8,0.4,0.4,73.9757456571616,306,419,9,71.6906946264744,17
9,0.45,0.45,75.9750901343822,441,594,9,69.0694626474443,17
10,0.5,0.5,77.5155686660111,566,758,9,69.0694626474443,17
1,0.05,0.05,65.5195018026876,5,8,3,75.7536041939712,18
2,0.1,0.1,65.5195018026876,5,8,3,75.7536041939712,18
3,0.15,0.15,65.5195018026876,5,8,3,75.7536041939712,18
4,0.2,0.2,67.4532940019666,65,81,7,76.9331585845347,18
5,0.25,0.25,68.6987872828581,121,155,9,76.1467889908257,18
6,0.3,0.3,68.8954441166831,132,168,9,76.0157273918742,18
7,0.35,0.35,72.2058341527368,272,356,9,73.132372214941,18
8,0.4,0.4,73.12356604392,331,428,9,72.4770642201835,18
9,0.45,0.45,73.1891183218617,334,433,9,72.2149410222805,18
10,0.5,0.5,75.7128810226155,479,631,9,69.0694626474443,18
1,0.05,0.05,65.257292690921,5,8,3,75.7536041939712,19
2,0.1,0.1,65.257292690921,5,8,3,75.7536041939712,19
3,0.15,0.15,65.257292690921,5,8,3,75.7536041939712,19
4,0.2,0.2,65.257292690921,5,8,3,75.7536041939712,19
5,0.25,0.25,68.2399213372665,87,125,9,75.6225425950197,19
6,0.3,0.3,68.4038020321206,92,133,9,75.6225425950197,19
7,0.35,0.35,69.4526384791872,151,205,9,76.2778505897772,19
8,0.4,0.4,70.6653556211078,237,309,9,75.3604193971166,19
9,0.45,0.45,74.7623729924615,435,588,10,69.9868938401049,19
10,0.5,0.5,76.204523107178,553,745,10,67.6277850589777,19
1,0.05,0.05,64.7656506063586,5,8,3,75.7536041939712,20
2,0.1,0.1,64.7656506063586,5,8,3,75.7536041939712,20
3,0.15,0.15,64.7656506063586,5,8,3,75.7536041939712,20
4,0.2,0.2,64.7656506063586,5,8,3,75.7536041939712,20
5,0.25,0.25,67.3221894460833,73,99,7,76.1467889908257,20
6,0.3,0.3,69.2232055063914,139,187,8,76.4089121887287,20
7,0.35,0.35,72.7302523762701,250,350,9,71.5596330275229,20
8,0.4,0.4,74.9590298262865,338,481,9,68.8073394495413,20
9,0.45,0.45,76.5322844968863,435,602,9,68.2830930537353,20
10,0.5,0.5,77.155031137332,475,659,9,67.7588466579292,20
1,0.05,0.05,63.1268436578171,4,6,2,75.4914809960681,21
2,0.1,0.1,63.1268436578171,4,6,2,75.4914809960681,21
3,0.15,0.15,63.1268436578171,4,6,2,75.4914809960681,21
4,0.2,0.2,65.0278597181252,40,54,7,75.4914809960681,21
5,0.25,0.25,66.4372336938709,92,121,7,75.8846657929227,21
6,0.3,0.3,68.338249754179,163,216,8,76.2778505897772,21
7,0.35,0.35,70.3703703703704,238,318,8,75.0982961992136,21
8,0.4,0.4,73.5496558505408,378,514,9,72.083879423329,21
9,0.45,0.45,74.467387741724,448,604,9,70.2490170380079,21
10,0.5,0.5,75.6801048836447,542,732,10,69.2005242463958,21
1,0.05,0.05,64.3395607997378,5,8,3,75.7536041939712,22
2,0.1,0.1,64.3395607997378,5,8,3,75.7536041939712,22
3,0.15,0.15,64.3395607997378,5,8,3,75.7536041939712,22
4,0.2,0.2,64.8967551622419,19,25,5,74.7051114023591,22
5,0.25,0.25,64.8967551622419,19,25,5,74.7051114023591,22
6,0.3,0.3,64.8967551622419,19,25,5,74.7051114023591,22
7,0.35,0.35,70.2720419534579,215,296,10,72.346002621232,22
8,0.4,0.4,74.2379547689282,375,525,10,68.4141546526868,22
9,0.45,0.45,74.5984922976073,391,552,10,67.8899082568807,22
10,0.5,0.5,76.2372992461488,509,704,10,65.7929226736566,22
1,0.05,0.05,61.8485742379548,4,6,2,74.9672346002621,23
2,0.1,0.1,61.8485742379548,4,6,2,74.9672346002621,23
3,0.15,0.15,61.8485742379548,4,6,2,74.9672346002621,23
4,0.2,0.2,65.3556211078335,83,116,8,74.1808650065531,23
5,0.25,0.25,66.5355621107833,121,168,8,74.0498034076016,23
6,0.3,0.3,69.7803998688954,228,312,8,69.3315858453473,23
7,0.35,0.35,70.2720419534579,248,341,9,68.6762778505898,23
8,0.4,0.4,71.2881022615536,306,413,9,67.6277850589777,23
9,0.45,0.45,72.8613569321534,413,553,9,66.9724770642202,23
10,0.5,0.5,74.3362831858407,546,716,9,65.2686762778506,23
1,0.05,0.05,61.8813503769256,5,8,2,75.7536041939712,24
2,0.1,0.1,61.8813503769256,5,8,2,75.7536041939712,24
3,0.15,0.15,61.8813503769256,5,8,2,75.7536041939712,24
4,0.2,0.2,65.060635857096,78,104,7,74.7051114023591,24
5,0.25,0.25,66.4044575549,124,163,8,74.5740498034076,24
6,0.3,0.3,68.6987872828581,209,276,8,71.6906946264744,24
7,0.35,0.35,69.092100950508,228,302,8,72.2149410222805,24
8,0.4,0.4,71.9436250409702,352,473,9,70.6422018348624,24
9,0.45,0.45,73.9757456571616,469,628,9,66.7103538663172,24
10,0.5,0.5,75.3523434939364,559,753,9,66.5792922673657,24
1,0.05,0.05,62.6679777122255,4,6,2,74.4429882044561,25
2,0.1,0.1,64.2412323828253,31,40,6,75.8846657929227,25
3,0.15,0.15,64.4051130776794,33,43,6,75.2293577981651,25
4,0.2,0.2,64.4051130776794,33,43,6,75.2293577981651,25
5,0.25,0.25,64.7328744673877,49,63,9,75.0982961992136,25
6,0.3,0.3,66.3716814159292,138,171,9,75.2293577981651,25
7,0.35,0.35,68.4365781710914,239,301,9,72.4770642201835,25
8,0.4,0.4,72.2386102917076,408,526,10,67.8899082568807,25
9,0.45,0.45,72.8613569321534,478,609,10,68.0209698558322,25
10,0.5,0.5,73.51687971157,520,665,10,67.8899082568807,25
1,0.05,0.05,61.8485742379548,3,4,1,73.9187418086501,26
2,0.1,0.1,61.8485742379548,3,4,1,73.9187418086501,26
3,0.15,0.15,63.0285152409046,18,25,5,74.0498034076016,26
4,0.2,0.2,63.0285152409046,18,25,5,74.0498034076016,26
5,0.25,0.25,65.6178302196001,106,140,8,74.0498034076016,26
6,0.3,0.3,66.2405768600459,124,166,8,73.656618610747,26
7,0.35,0.35,66.9288757784333,164,215,9,73.7876802096986,26
8,0.4,0.4,72.1075057358243,364,488,9,68.8073394495413,26
9,0.45,0.45,73.2218944608325,422,568,10,65.7929226736566,26
10,0.5,0.5,74.3035070468699,493,664,10,65.6618610747051,26
1,0.05,0.05,61.2913798754507,6,10,3,75.2293577981651,27
2,0.1,0.1,61.2913798754507,6,10,3,75.2293577981651,27
3,0.15,0.15,61.2913798754507,6,10,3,75.2293577981651,27
4,0.2,0.2,61.2913798754507,6,10,3,75.2293577981651,27
5,0.25,0.25,65.060635857096,101,137,7,75.0982961992136,27
6,0.3,0.3,68.4365781710914,208,284,9,72.608125819135,27
7,0.35,0.35,70.5014749262537,330,435,9,71.0353866317169,27
8,0.4,0.4,73.320222877745,489,644,9,67.1035386631717,27
9,0.45,0.45,73.8774172402491,534,701,9,66.3171690694627,27
10,0.5,0.5,74.8279252704031,613,802,9,66.3171690694627,27
1,0.05,0.05,59.9803343166175,3,4,1,73.9187418086501,28
2,0.1,0.1,61.422484431334,19,25,5,74.5740498034076,28
3,0.15,0.15,61.422484431334,19,25,5,74.5740498034076,28
4,0.2,0.2,62.5368731563422,42,58,8,74.4429882044561,28
5,0.25,0.25,65.2245165519502,117,162,8,74.1808650065531,28
6,0.3,0.3,66.0111438872501,138,189,8,73.9187418086501,28
7,0.35,0.35,68.4693543100623,219,310,8,73.0013106159895,28
8,0.4,0.4,71.4847590953786,352,501,9,69.8558322411533,28
9,0.45,0.45,72.2713864306785,390,554,9,69.8558322411533,28
10,0.5,0.5,74.3690593248115,527,727,9,68.1520314547838,28
1,0.05,0.05,59.5214683710259,3,4,1,73.9187418086501,29
2,0.1,0.1,59.9475581776467,6,10,3,75.7536041939712,29
3,0.15,0.15,59.9475581776467,6,10,3,75.7536041939712,29
4,0.2,0.2,61.0947230416257,12,20,5,74.3119266055046,29
5,0.25,0.25,63.1923959357588,64,91,7,74.1808650065531,29
6,0.3,0.3,68.4038020321206,239,335,10,67.4967234600262,29
7,0.35,0.35,69.7476237299246,293,411,10,67.4967234600262,29
8,0.4,0.4,73.7463126843658,487,668,10,65.7929226736566,29
9,0.45,0.45,74.2379547689282,526,719,10,65.6618610747051,29
10,0.5,0.5,74.6968207145198,573,776,10,65.5307994757536,29
1,0.05,0.05,59.3575876761717,5,8,3,75.7536041939712,30
2,0.1,0.1,59.3575876761717,5,8,3,75.7536041939712,30
3,0.15,0.15,59.3575876761717,5,8,3,75.7536041939712,30
4,0.2,0.2,62.5368731563422,68,96,6,69.0694626474443,30
5,0.25,0.25,68.8626679777122,211,308,8,61.0747051114024,30
6,0.3,0.3,70.3048180924287,277,402,8,61.2057667103539,30
7,0.35,0.35,71.1242215666994,328,467,8,61.9921363040629,30
8,0.4,0.4,72.7958046542117,429,613,10,60.5504587155963,30
9,0.45,0.45,73.320222877745,453,648,10,60.1572739187418,30
10,0.5,0.5,74.1068502130449,507,722,10,60.0262123197903,30
1,0.05,0.05,60.1442150114717,5,8,3,75.7536041939712,31
2,0.1,0.1,60.1442150114717,5,8,3,75.7536041939712,31
3,0.15,0.15,60.1442150114717,5,8,3,75.7536041939712,31
4,0.2,0.2,61.1274991805965,26,37,6,74.9672346002621,31
5,0.25,0.25,65.8472631923959,118,172,6,68.9384010484928,31
6,0.3,0.3,68.338249754179,211,304,9,66.1861074705111,31
7,0.35,0.35,70.3048180924287,285,403,9,63.302752293578,31
8,0.4,0.4,71.7469682071452,350,496,10,62.2542595019659,31
9,0.45,0.45,73.320222877745,438,613,10,60.9436435124509,31
10,0.5,0.5,74.7623729924615,537,747,10,60.8125819134993,31
1,0.05,0.05,58.9642740085218,4,6,2,74.1808650065531,32
2,0.1,0.1,58.9642740085218,4,6,2,74.1808650065531,32
3,0.15,0.15,58.9642740085218,4,6,2,74.1808650065531,32
4,0.2,0.2,60.1769911504425,22,29,4,74.0498034076016,32
5,0.25,0.25,60.2425434283841,23,31,5,74.0498034076016,32
6,0.3,0.3,62.6024254342838,103,139,9,74.0498034076016,32
7,0.35,0.35,71.3864306784661,409,574,10,66.5792922673657,32
8,0.4,0.4,72.6319239593576,484,675,11,65.3997378768021,32
9,0.45,0.45,73.12356604392,516,717,11,65.1376146788991,32
10,0.5,0.5,74.0085217961324,583,800,11,64.4823066841415,32
1,0.05,0.05,58.4070796460177,4,6,2,73.7876802096986,33
2,0.1,0.1,58.4070796460177,4,6,2,73.7876802096986,33
3,0.15,0.15,63.4873811864962,90,129,8,74.1808650065531,33
4,0.2,0.2,64.8312028843002,129,183,8,73.7876802096986,33
5,0.25,0.25,68.9282202556539,229,323,8,65.9239842726081,33
6,0.3,0.3,71.6486397902327,318,451,8,62.5163826998689,33
7,0.35,0.35,72.5991478203868,366,519,9,61.7300131061599,33
8,0.4,0.4,73.7790888233366,418,592,9,61.7300131061599,33
9,0.45,0.45,74.664044575549,480,678,9,61.4678899082569,33
10,0.5,0.5,75.3195673549656,520,734,9,61.5989515072084,33
1,0.05,0.05,58.8331694526385,5,8,3,75.7536041939712,34
2,0.1,0.1,58.8331694526385,5,8,3,75.7536041939712,34
3,0.15,0.15,58.8331694526385,5,8,3,75.7536041939712,34
4,0.2,0.2,62.9957391019338,84,125,9,68.5452162516383,34
5,0.25,0.25,65.1261881350377,139,210,9,68.1520314547838,34
6,0.3,0.3,67.1583087512291,216,321,9,66.1861074705111,34
7,0.35,0.35,69.4198623402163,268,412,10,63.040629095675,34
8,0.4,0.4,72.7958046542117,450,658,10,60.6815203145478,34
9,0.45,0.45,73.3857751556867,475,702,10,59.3709043250328,34
10,0.5,0.5,74.1396263520157,518,765,10,59.2398427260813,34
1,0.05,0.05,58.8987217305801,11,18,5,76.4089121887287,35
2,0.1,0.1,59.1609308423468,12,20,5,74.4429882044561,35
3,0.15,0.15,59.1609308423468,12,20,5,74.4429882044561,35
4,0.2,0.2,59.1609308423468,12,20,5,74.4429882044561,35
5,0.25,0.25,59.882005899705,30,44,6,75.4914809960681,35
6,0.3,0.3,67.8793838085873,280,386,10,69.3315858453473,35
7,0.35,0.35,68.4693543100623,304,420,10,69.3315858453473,35
8,0.4,0.4,71.8125204850868,448,612,10,62.778505897772,35
9,0.45,0.45,73.1891183218617,530,724,10,60.5504587155963,35
10,0.5,0.5,73.8118649623074,588,789,10,59.5019659239843,35
